Feature,Importance
Prob_1_norm,0.13734663846481568
Prob_2_norm,0.13489325349861558
Pts_1,0.11763818793216979
Rank_1,0.1080760100278918
Pts_2,0.10692068280377019
Player2_WR,0.10407851805750049
Rank_2,0.1028002254567832
Player1_WR,0.10131933080532872
Round_encoded,0.03343999271332076
Series_encoded,0.026341688280893956
Surface_encoded,0.018032102504698503
Best of,0.009113369454211383
